Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric",-138.305000,16.130000,180.000000,top
"C2","100 nF","C_0603_1608Metric",-138.305000,26.290000,180.000000,top
"C3","100 nF","C_0603_1608Metric",-115.920000,40.900000,90.000000,top
"C4","100 nF","C_0603_1608Metric",-103.715000,26.290000,0.000000,top
"C5","1 uF","C_0603_1608Metric",-138.305000,32.640000,180.000000,top
"C6","100 nF","C_0603_1608Metric",-132.430000,40.900000,90.000000,top
"C7","100 nF","C_0603_1608Metric",-112.605000,7.237000,0.000000,top
"C8","1 uF","C_0603_1608Metric",-116.695000,7.237000,180.000000,top
"C9","100nF","C_0603_1608Metric",-121.030000,-0.725000,270.000000,top
"C10","10nF","C_0603_1608Metric",-119.030000,-0.725000,270.000000,top
"C11","10uF","CP_EIA-3216-18_Kemet-A",-103.140000,23.750000,0.000000,top
"C12","10uF","CP_EIA-3216-18_Kemet-A",-138.880000,35.180000,180.000000,top
"C13","10uF","CP_EIA-3216-18_Kemet-A",-138.880000,12.320000,180.000000,top
"C14","100 nF","C_0603_1608Metric",-121.000000,42.525000,90.000000,top
"C15","10uF","CP_EIA-3216-18_Kemet-A",-116.000000,-0.150000,270.000000,top
"C16","1 uF","C_0603_1608Metric",-113.380000,40.900000,90.000000,top
"R1","0","R_0603_1608Metric",-138.355000,22.480000,180.000000,top
"R2","0","R_0603_1608Metric",-138.355000,18.670000,180.000000,top
"R4","10k","R_0603_1608Metric",-116.825000,46.750000,0.000000,top
"R5","10k","R_0603_1608Metric",-113.184000,46.750000,180.000000,top
"S1","SSAJ110100","SW_SSAJ110100",-115.000000,50.000000,180.000000,top
"U1","74LVC1G3157","SOT-23-6",-125.500000,41.750000,0.000000,top
